id	title	source_url	final_url	status	local_pdf	local_html	notes
MSB-SIG-001	Vrselja 2019 BrainEx	https://pmc.ncbi.nlm.nih.gov/articles/PMC6844189/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6844189/	html-downloaded-pdf-gated-or-not-oa		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-001-Vrselja-2019-BrainEx.html	PMC page exposes PDF UI, but direct scripted PDF request returns NCBI download challenge or source is not OA via OA API; HTML snapshot retained
MSB-SIG-002	NIH Blueprint Interoception Initiative	https://www.nih.gov/nih-blueprint-neuroscience-research/blueprint-research-initiatives/nih-blueprint-neuroscience-research-initiative-interoception	https://www.nih.gov/nih-blueprint-neuroscience-research/blueprint-research-initiatives/nih-blueprint-neuroscience-research-initiative-interoception	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-002-NIH-Blueprint-Interoception-Initiative.html	
MSB-SIG-003	Khalsa 2018 Interoception and Mental Health	https://pmc.ncbi.nlm.nih.gov/articles/PMC6054486/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6054486/	html-downloaded-pdf-gated-or-not-oa		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-003-Khalsa-2018-Interoception-and-Mental-Health.html	NCBI OA API exposes an FTP PDF link, but FTP retrieval failed in this environment; HTML snapshot retained
MSB-SIG-004	FDA Artificial Pancreas Device System	https://www.fda.gov/medical-devices/artificial-pancreas-device-system/what-pancreas-what-artificial-pancreas-device-system	https://www.fda.gov/medical-devices/artificial-pancreas-device-system/what-pancreas-what-artificial-pancreas-device-system	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-004-FDA-Artificial-Pancreas-Device-System.html	
MSB-SIG-005	Brown 2019 Closed Loop Control T1D	https://pubmed.ncbi.nlm.nih.gov/31618560/	https://pubmed.ncbi.nlm.nih.gov/31618560/	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-005-Brown-2019-Closed-Loop-Control-T1D.html	
MSB-SIG-006	ELSO ECMO Guidelines	https://www.elso.org/ecmo-resources/elso-ecmo-guidelines.aspx	https://www.elso.org/ecmo-resources/elso-ecmo-guidelines.aspx	html-and-pdf-downloaded	domains/c1-boundary-rewriting/disembodied-cns/literature/papers/pdf/MSB-SIG-006-ELSO-ECMO-Guidelines.pdf	domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-006-ELSO-ECMO-Guidelines.html	
MSB-SIG-007	FDA BCI Guidance	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/implanted-brain-computer-interface-bci-devices-patients-paralysis-or-amputation-non-clinical-testing	https://www.fda.gov/regulatory-information/search-fda-guidance-documents/implanted-brain-computer-interface-bci-devices-patients-paralysis-or-amputation-non-clinical-testing	html-and-pdf-downloaded	domains/c1-boundary-rewriting/disembodied-cns/literature/papers/pdf/MSB-SIG-007-FDA-BCI-Guidance.pdf	domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-007-FDA-BCI-Guidance.html	
MSB-SIG-008	DARPA NESD	https://www.darpa.mil/research/programs/neural-engineering-system-design	https://www.darpa.mil/research/programs/neural-engineering-system-design	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-008-DARPA-NESD.html	
MSB-SIG-009	ClinicalTrials PRIME Study NCT06429735	https://clinicaltrials.gov/study/NCT06429735	https://clinicaltrials.gov/study/NCT06429735	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-009-ClinicalTrials-PRIME-Study-NCT06429735.html	
MSB-SIG-010	NCATS Tissue Chip	https://ncats.nih.gov/research/research-activities/tissue-chip/meet-chip	https://ncats.nih.gov/research/research-activities/tissue-chip/meet-chip	html-downloaded-no-pdf-link		domains/c1-boundary-rewriting/disembodied-cns/literature/papers/html/MSB-SIG-010-NCATS-Tissue-Chip.html	
